EthernetPresent,IPv4Present,UDPPresent,DNSPresent,EthernetSrc,EthernetDst,IPv4Src,IPv4Dst,UDPSrc,UDPDst,IPv4ID,IPv4Length,IPv4TTL,PacketLength,MillisecondsSinceFirstPacket,ICMPv4Present,PayloadPresent,TCPPresent,TCPSrc,TCPDst,TCPFIN,TCPSYN,TCPRST,TCPPSH,TCPACK,TCPURG,TCPECE,TCPCWR,TCPNS,ARPPresent,IPv6Present,DHCPv6Present,IPv6Src,IPv6Dst,IPv6Length
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,7003,44,37,58,44991,,,1,41902,6004,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,39991,44,38,58,44993,,,1,41902,3527,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,19826,44,40,58,44993,,,1,41902,163,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,29399,44,57,58,44993,,,1,41902,7911,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,39506,44,48,58,44993,,,1,41902,8031,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,4892,44,40,58,44993,,,1,41902,1026,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,8826,44,37,58,45091,,,1,41903,6004,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,25034,44,55,58,45091,,,1,41903,3017,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,65411,44,54,58,45091,,,1,41903,6839,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,15318,44,47,58,45091,,,1,41903,1311,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,52255,44,51,58,45091,,,1,41903,1043,0,1,0,0,0,0,0,0,0,,,,,,
1,1,,,00:50:56:c0:00:01,00:0c:29:96:f6:b0,172.16.37.1,172.16.37.129,,,49619,44,43,58,45093,,,1,41903,1026,0,1,0,0,0,0,0,0,0,,,,,,
